file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	744	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	745	3	2	0.92285	2	5
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	746	2	2	0.39222	2	3
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	747	1	1	0.46968	1	2
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	748	1	1	0.21478	1	2
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	749	2	2	0.39101	2	3
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	750	6	4	4.69051	2	17
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	751	2	2	0.31312	1	3
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	752	8	5	7.52796	2	34
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	753	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	754	3	2	1.04488	2	5
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	755	1	1	0.0243	1	1
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	756	3	2	0.81687	2	5
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	757	1	1	0.58422	1	3
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	758	1	1	0.05616	1	1
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	759	1	1	0.2603	1	2
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	760	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	761	2	2	1.56708	1	7
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	762	2	2	0.48996	1	3
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	763	2	2	0.16092	2	2
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	764	2	2	0.62338	1	3
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	765	2	2	0.62138	2	4
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	766	1	1	0.27132	1	2
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	767	2	2	0.36261	1	3
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	768	3	2	1.05501	2	6
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	769	4	4	1.65479	2	9
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	770	2	2	0.54305	2	4
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	771	1	1	0.39564	1	2
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	772	1	1	0.5076	1	2
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	773	3	3	1.03858	2	6
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	774	1	1	0.0249	1	1
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	775	1	1	0	1	1
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	776	3	2	1.68064	1	8
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	777	4	4	1.73578	2	9
Kihihi_96BarcodeTest_50maxCOI/96_91.txt	C	778	2	2	0.45624	1	2
