file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	744	1	1	0.65649	1	3
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	745	16	12	12.41125	2	44
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	746	19	17	14.76703	2	48
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	747	20	20	16.56922	1	48
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	748	11	6	10.57	2	38
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	749	7	5	6.13814	2	23
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	751	11	7	10.4636	2	37
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	753	1	1	1.45593	1	4
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	754	18	13	14.25093	2	48
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	755	4	1	6.31329	1	22
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	758	12	1	13.62368	1	45
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	759	4	2	3.92896	1	15
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	760	1	1	2.96442	1	11
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	761	14	9	13.09094	1	46
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	762	8	5	7.53961	2	29
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	763	5	3	4.59621	2	18
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	764	12	7	11.22847	2	44
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	765	9	6	8.61357	2	34
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	766	6	4	5.61509	1	21
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	767	13	9	12.45995	1	42
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	768	15	11	11.30442	2	42
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	769	16	12	12.63011	2	45
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	770	6	3	5.94487	1	22
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	771	5	3	4.90419	1	17
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	772	4	1	5.84963	1	21
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	773	14	11	11.25478	2	42
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	774	4	1	4.49392	1	16
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	775	2	1	3.91387	1	15
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	776	21	21	16.58589	1	49
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	777	25	25	15.03617	4	49
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	778	9	6	7.32882	2	26
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	779	19	16	14.35448	2	48
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	780	7	4	7.47724	1	27
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	781	15	11	12.65001	2	45
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	783	19	15	14.20393	3	48
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	784	20	18	15.09371	2	48
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	785	20	18	13.62387	3	47
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	786	7	4	6.78697	1	27
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	787	15	11	11.70382	2	43
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	788	2	1	2.1959	1	9
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	789	9	6	8.37209	2	31
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	790	7	4	6.1677	1	23
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	791	12	8	11.51854	2	43
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	792	13	10	12.09579	1	42
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	793	13	9	12.71161	1	44
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	794	5	1	6.77888	1	24
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	796	16	14	14.98793	1	47
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	797	25	26	15.26084	2	49
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	798	23	22	15.26637	2	49
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	799	9	1	9.57648	1	31
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	800	16	13	13.59355	2	45
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	801	9	1	10.29606	1	34
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	802	21	20	14.26996	2	48
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	803	17	14	13.34729	3	46
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	804	22	19	14.08757	4	48
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	805	23	21	15.11889	4	49
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	806	22	22	15.75474	2	49
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	807	13	9	11.58631	1	41
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	808	16	12	13.03621	2	46
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	809	3	2	2.50564	1	9
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	810	17	14	13.51047	2	47
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	811	26	26	14.81836	5	49
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	812	8	4	6.9105	2	25
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	813	4	2	2.93889	1	12
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	814	18	15	14.20866	1	47
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	815	10	7	9.76019	2	37
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	816	9	6	10.10841	1	35
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	817	19	18	17.27163	1	49
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	819	10	7	10.01063	1	38
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	820	8	1	9.4311	1	31
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	821	8	6	6.78851	2	25
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	822	11	9	10.2325	2	35
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	823	16	12	12.71998	2	47
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	824	30	33	14.11557	6	50
Kihihi_48BarcodeTest_50maxCOI/48_27.txt	C	825	8	1	8.90392	1	30
